Station_Name;Operators_Name;Connection_Type;Generation_Type;Operating_Capacity;Fuel_Name;Installed_Capacity;Max_Unit_Size;Typical_Annual_GWh;Hydro_Max_m3_Storage;Node_Name;Region_Name;Island_Name
Te Uku;Meridian Energy;Embedded;Wind;64,4;Wind;64,4;2.3 MW;225;0;TWH0331;WTO - Waikato;NI - North Island
Tuai;Genesis Energy;Grid Connected;Hydro;60;Hydro;60;20 MW;218;0;TUI1101;HBY - Hawkes Bay;NI - North Island
Mill Creek;Meridian Energy;Embedded;Wind;71,3;Wind;59,8;2.3 MW;235;0;WIL0331;WEL - Wellington;NI - North Island
White Hill;Meridian Energy;Embedded;Wind;58;Wind;58;2 MW;200;0;NMA0331;OTG - Otago/Southland;SI - South Island
Otahuhu A;Contact Energy;Grid Connected;Thermal;0;Gas;55;55 MW;0;0;OTA1101;AKL - Auckland;NI - North Island
Poihipi Rd;Contact Energy;Grid Connected;Geothermal;55;Geothermal;55;55 MW;350;0;PPI2201;WTO - Waikato;NI - North Island
Te Awamutu - Anchor Products;Genesis Energy;Grid Connected Cogen;Cogeneration;0;Gas;54;54 MW;0;0;TMU1101;WTO - Waikato;NI - North Island
Waipapa;Mighty River Power;Grid Connected;Hydro;51;Hydro;51;17 MW;242;0;WPA2201;WTO - Waikato;NI - North Island
Te Rere Hau;New Zealand Wind Farms;Partially Embedded;Wind;48,5;Wind;48,5;0.5 MW;160;0;TWC2201;CEN - Central;NI - North Island
Huntly p40;Genesis Energy;Grid Connected;Thermal;48;Gas;48;48 MW;335;0;HLY2202;WTO - Waikato;NI - North Island
Coleridge;Trustpower;Grid Connected;Hydro;45;Hydro;45;9.5 MW;300;138;COL0661;CAN - Canterbury;SI - South Island
Te Rapa;Contact Energy;Partially Embedded;Cogeneration;44;Gas;44;44 MW;200;0;TWH0331;WTO - Waikato;NI - North Island
Mangahao;Todd Energy;Grid Connected;Hydro;42;Hydro;42;26 MW;136;5;MHO0331;CEN - Central;NI - North Island
Piripaua;Genesis Energy;Grid Connected;Hydro;42;Hydro;42;21 MW;133;0;TUI1101;HBY - Hawkes Bay;NI - North Island
